unit,isced97,hlth_pb,sex,age,time,geo,value
THS,TOTAL,PB1040,M,Y45-54,2011,BE ,130.29
THS,TOTAL,PB1040,T,Y45-54,2011,BE ,283.368
THS,TOTAL,PB1040,F,Y55-64,2011,BE ,175.289
THS,TOTAL,PB1040,M,Y55-64,2011,BE ,174.96
THS,TOTAL,PB1040,T,Y55-64,2011,BE ,350.249
THS,TOTAL,PB1041,F,TOTAL,2011,BE ,2958.993
THS,TOTAL,PB1041,M,TOTAL,2011,BE ,3027.114
THS,TOTAL,PB1041,T,TOTAL,2011,BE ,5986.107
THS,TOTAL,PB1041,F,Y15-24,2011,BE ,599.07
THS,TOTAL,PB1041,M,Y15-24,2011,BE ,600.128
THS,TOTAL,PB1041,T,Y15-24,2011,BE ,1199.198
THS,TOTAL,PB1041,F,Y25-34,2011,BE ,620.198
THS,TOTAL,PB1041,M,Y25-34,2011,BE ,635.805
THS,TOTAL,PB1041,T,Y25-34,2011,BE ,1256.003
THS,TOTAL,PB1041,F,Y35-44,2011,BE ,632.72
THS,TOTAL,PB1041,M,Y35-44,2011,BE ,660.527
THS,TOTAL,PB1041,T,Y35-44,2011,BE ,1293.247
THS,TOTAL,PB1041,F,Y45-54,2011,BE ,617.97
THS,TOTAL,PB1041,M,Y45-54,2011,BE ,652.416
THS,TOTAL,PB1041,T,Y45-54,2011,BE ,1270.386
THS,TOTAL,PB1041,F,Y55-64,2011,BE ,489.035
THS,TOTAL,PB1041,M,Y55-64,2011,BE ,478.238
THS,TOTAL,PB1041,T,Y55-64,2011,BE ,967.273
THS,TOTAL,PB1070,F,TOTAL,2011,BE ,496.099
THS,TOTAL,PB1070,M,TOTAL,2011,BE ,422.471
THS,TOTAL,PB1070,T,TOTAL,2011,BE ,918.57
THS,TOTAL,PB1070,F,Y15-24,2011,BE ,17.556
THS,TOTAL,PB1070,M,Y15-24,2011,BE ,26.328
THS,TOTAL,PB1070,T,Y15-24,2011,BE ,43.884
THS,TOTAL,PB1070,F,Y25-34,2011,BE ,56.114
THS,TOTAL,PB1070,M,Y25-34,2011,BE ,39.096
THS,TOTAL,PB1070,T,Y25-34,2011,BE ,95.21
THS,TOTAL,PB1070,F,Y35-44,2011,BE ,91.516
THS,TOTAL,PB1070,M,Y35-44,2011,BE ,70.09
THS,TOTAL,PB1070,T,Y35-44,2011,BE ,161.606
THS,TOTAL,PB1070,F,Y45-54,2011,BE ,157.875
THS,TOTAL,PB1070,M,Y45-54,2011,BE ,114.388
THS,TOTAL,PB1070,T,Y45-54,2011,BE ,272.263
THS,TOTAL,PB1070,F,Y55-64,2011,BE ,173.038
THS,TOTAL,PB1070,M,Y55-64,2011,BE ,172.569
THS,TOTAL,PB1070,T,Y55-64,2011,BE ,345.607
THS,TOTAL,PB1071,F,TOTAL,2011,BE ,2953.778
THS,TOTAL,PB1071,M,TOTAL,2011,BE ,3077.988
THS,TOTAL,PB1071,T,TOTAL,2011,BE ,6031.766
THS,TOTAL,PB1071,F,Y15-24,2011,BE ,603.402
THS,TOTAL,PB1071,M,Y15-24,2011,BE ,613.686
THS,TOTAL,PB1071,T,Y15-24,2011,BE ,1217.088
THS,TOTAL,PB1071,F,Y25-34,2011,BE ,618.203
THS,TOTAL,PB1071,M,Y25-34,2011,BE ,644.489
THS,TOTAL,PB1071,T,Y25-34,2011,BE ,1262.692
THS,TOTAL,PB1071,F,Y35-44,2011,BE ,627.714
THS,TOTAL,PB1071,M,Y35-44,2011,BE ,670.867
THS,TOTAL,PB1071,T,Y35-44,2011,BE ,1298.581
THS,TOTAL,PB1071,F,Y45-54,2011,BE ,613.173
THS,TOTAL,PB1071,M,Y45-54,2011,BE ,668.318
